timestamp,state,concentration,mellow,alpha,beta,theta,delta,gamma,signal_quality,gyro_y,gyro_z,acc_x,acc_y,acc_z,blink,jaw_clench,nod,shake,robot_action,room_index,room_title
1778504937989,NEUTRAL,0.3357706,0.2865799,0.56079054,0.6295875,0.6806337,0.9750946,0.12418749,1.0,-11.020813,-3.2299805,0.15765381,-0.053527832,0.98461914,1,1,0,0,"Alta concentración detectada",-1,""
1778504938239,NEUTRAL,0.32536718,0.2860863,0.5428795,0.585393,0.6885879,0.96675223,0.09572157,1.0,1.7645264,-11.103058,0.038391113,0.038085938,0.99053955,1,0,0,0,"Alta concentración detectada",-1,""
1778504938489,NEUTRAL,0.32189938,0.28592175,0.5428795,0.585393,0.6885879,0.96675223,0.09572157,1.0,3.940277,8.246918,0.09265137,0.09259033,1.0256348,0,0,0,0,"Alta concentración detectada",-1,""
1778504938739,NEUTRAL,0.32016546,0.2858395,0.5428795,0.585393,0.6885879,0.96675223,0.09572157,1.0,-1.4729309,6.145935,0.121032715,0.022949219,1.0108032,0,0,0,0,"Alta concentración detectada",-1,""
1778504938989,NEUTRAL,0.31912512,0.28579012,0.5428795,0.585393,0.6885879,0.96675223,0.09572157,1.0,4.942169,2.8337097,0.15472412,0.025512695,0.9998779,0,0,0,0,"Alta concentración detectada",-1,""
1778504939239,NEUTRAL,0.31843156,0.2857572,0.5428795,0.585393,0.6885879,0.96675223,0.09572157,1.0,4.8225403,7.5291443,-0.0413208,0.08496094,0.9909668,0,0,0,0,"Alta concentración detectada",-1,""
1778504939489,NEUTRAL,0.31793615,0.2857337,0.5428795,0.585393,0.6885879,0.96675223,0.09572157,1.0,-9.159088,1.121521,-0.0095825195,0.05529785,0.9849243,0,0,0,0,"Alta concentración detectada",-1,""
1778504939739,NEUTRAL,0.32545948,0.29021356,0.52447283,0.59482664,0.49475664,0.84505963,0.18695319,1.0,2.5196838,-13.458252,-0.027832031,-0.0065307617,0.9637451,0,0,0,0,"Neutral — sin seguimiento",-1,""
1778504939989,NEUTRAL,0.33131093,0.29369786,0.52447283,0.59482664,0.49475664,0.84505963,0.18695319,1.0,-14.295654,-7.8282166,0.018127441,0.13665771,0.9819336,0,0,0,0,"Neutral — sin seguimiento",-1,""
1778504940239,NEUTRAL,0.3359921,0.29648533,0.52447283,0.59482664,0.49475664,0.84505963,0.18695319,1.0,-13.353577,-57.97516,0.087524414,0.15704346,0.9868164,0,0,0,0,"Neutral — sin seguimiento",-1,""
1778504940489,NEUTRAL,0.3402273,0.29998457,0.52447283,0.59482664,0.49475664,0.84505963,0.18695319,1.0,4.3440247,20.404205,0.061340332,0.24365234,1.0075684,0,0,0,0,"Neutral — sin seguimiento",-1,""
1778504940740,NEUTRAL,0.3465432,0.30358255,0.52447283,0.59482664,0.49475664,0.84505963,0.18695319,1.0,-2.3851013,0.38131714,-0.0073242188,0.26257324,0.9631958,1,0,0,0,"Neutral — sin seguimiento",-1,""
1778504940989,NEUTRAL,0.35285905,0.30718052,0.52447283,0.59482664,0.49475664,0.84505963,0.18695319,1.0,-3.050537,-3.1477356,-0.004638672,0.28338623,0.984375,0,0,0,0,"Neutral — sin seguimiento",-1,""
1778504941239,NEUTRAL,0.35917494,0.3107785,0.52447283,0.59482664,0.49475664,0.84505963,0.18695319,1.0,-2.355194,1.7645264,-0.0038452148,0.23699951,0.96624756,0,0,0,0,"Neutral — sin seguimiento",-1,""
1778504941489,NEUTRAL,0.36549082,0.31437647,0.52447283,0.59482664,0.49475664,0.84505963,0.18695319,1.0,-5.839386,2.3103333,0.05822754,0.2366333,0.979187,0,0,0,0,"Neutral — sin seguimiento",-1,""
1778504941739,NEUTRAL,0.3718067,0.31797445,0.52447283,0.59482664,0.49475664,0.84505963,0.18695319,1.0,-2.8112793,0.08224487,0.04888916,0.24957275,0.9814453,0,0,0,0,"Neutral — sin seguimiento",-1,""
1778504941989,NEUTRAL,0.3781226,0.32157242,0.52447283,0.59482664,0.49475664,0.84505963,0.18695319,1.0,-1.8766785,-0.17196655,0.0491333,0.2286377,0.9752197,0,0,0,0,"Neutral — sin seguimiento",-1,""
1778504942239,NEUTRAL,0.3781226,0.32157242,0.52447283,0.59482664,0.49475664,0.84505963,0.18695319,1.0,-0.37384033,13.099365,-0.014038086,0.20056152,0.9733887,0,0,0,0,"Neutral — sin seguimiento",-1,""
1778504942490,NEUTRAL,0.3781226,0.32157242,0.52447283,0.59482664,0.49475664,0.84505963,0.18695319,1.5,-6.1384583,3.327179,0.049743652,0.18249512,0.9848633,0,0,0,0,"Neutral — sin seguimiento",-1,""
1778504942739,NEUTRAL,0.3781226,0.32157242,0.52447283,0.59482664,0.49475664,0.84505963,0.18695319,1.5,-2.781372,1.315918,0.06188965,0.17150879,0.9848633,0,0,0,0,"Neutral — sin seguimiento",-1,""
1778504942989,NEUTRAL,0.3748832,0.32602474,0.6119884,0.5871292,0.5080512,0.8256199,0.19219819,1.0,9.832001,58.588257,0.0647583,0.16937256,0.9871826,0,0,0,0,"Neutral — sin seguimiento",-1,""
1778504943239,NEUTRAL,0.37148142,0.3309354,0.6435962,0.61128914,0.52977216,1.0239806,0.31901714,1.0,-2.631836,9.203949,0.024597168,0.05670166,1.0004272,1,0,0,0,"Neutral — sin seguimiento",-1,""
1778504943489,NEUTRAL,0.36604488,0.33613414,0.67506194,0.6129211,0.5836897,1.0346771,0.31914043,1.0,-3.6112976,-5.218811,0.07556152,0.03314209,0.998291,0,0,0,0,"Neutral — sin seguimiento",-1,""
1778504943739,NEUTRAL,0.3616843,0.34089792,0.64569646,0.60284054,0.55011564,1.0472488,0.31526396,1.0,1.3607788,-6.729126,0.016540527,0.051635742,1.0081177,0,0,0,0,"Neutral — sin seguimiento",-1,""
1778504943989,NEUTRAL,0.35732368,0.34566167,0.64569646,0.60284054,0.55011564,1.0472488,0.31526396,1.0,-4.411316,-27.641754,0.113098145,0.21496582,1.0142212,0,0,0,0,"Neutral — sin seguimiento",-1,""
1778504944239,NEUTRAL,0.35296306,0.35042542,0.64569646,0.60284054,0.55011564,1.0472488,0.31526396,1.0,-2.5720215,6.3702393,0.043151855,0.23657227,0.9845581,1,0,0,0,"Neutral — sin seguimiento",-1,""
1778504944489,NEUTRAL,0.34829894,0.35486895,0.64569646,0.6026656,0.56294805,1.0555269,0.31942973,1.0,-3.5514832,0.59814453,0.0524292,0.23254395,0.97802734,0,0,0,0,"Neutral — sin seguimiento",-1,""
1778504944739,NEUTRAL,0.34375814,0.3580714,0.6367169,0.6102799,0.58470684,1.0624577,0.32125878,1.0,-2.3327637,1.5028381,0.053588867,0.23278809,0.9898071,0,0,0,0,"Neutral — sin seguimiento",-1,""
1778504944989,NEUTRAL,0.33991438,0.3607316,0.6306535,0.61993295,0.5832062,1.0580764,0.31924286,1.0,-2.437439,0.41870117,0.056274414,0.23864746,0.9866333,0,0,0,0,"Neutral — sin seguimiento",-1,""
1778504945239,NEUTRAL,0.3350943,0.37057397,0.83068055,0.72584665,0.60551804,0.96174866,0.59188056,1.0,-3.2150269,-2.2206116,0.027832031,0.22015381,0.9748535,0,0,0,0,"Neutral — sin seguimiento",-1,""
1778504945489,NEUTRAL,0.3447966,0.36723095,0.69577074,0.81992286,0.52514,0.8240702,0.5878405,1.0,-3.5664368,-2.5047302,0.06097412,0.20648193,0.98101807,0,0,0,0,"Neutral — sin seguimiento",-1,""
1778504945739,NEUTRAL,0.3529651,0.36486024,0.7417104,0.8306117,0.5578979,0.8249145,0.5894768,1.0,-2.5421143,-0.9046936,0.045959473,0.21203613,0.9855957,0,0,0,0,"Neutral — sin seguimiento",-1,""
1778504945989,NEUTRAL,0.36189258,0.3626268,0.7570958,0.8274937,0.5839473,0.8457963,0.5892684,1.0,-3.8804626,-0.5831909,0.05340576,0.21661377,0.98443604,0,0,0,0,"Neutral — sin seguimiento",-1,""
1778504946240,NEUTRAL,0.36931357,0.3615617,0.76152635,0.8183982,0.5737898,0.8607266,0.5889991,1.0,-1.3757324,1.77948,0.04559326,0.22033691,0.98773193,0,0,0,0,"Neutral — sin seguimiento",-1,""
1778504946490,NEUTRAL,0.37964207,0.3527076,0.6667826,0.85986537,0.6681113,0.8541466,0.62226444,1.0,-1.3832092,0.8673096,0.06512451,0.21807861,0.9846802,0,0,0,0,"Neutral — sin seguimiento",-1,""
1778504946739,ATTENTION,0.38929018,0.34368467,0.6664355,0.8553363,0.6832913,0.8913402,0.6057416,1.0,-2.4523926,-3.8430786,0.064208984,0.23828125,0.97924805,1,0,0,0,"Alta concentración detectada",-1,""
1778504946989,ATTENTION,0.39904192,0.33490646,0.6664355,0.8544946,0.68857425,0.8971225,0.60420996,1.0,-0.695343,1.5028381,0.042236328,0.2526245,0.97540283,0,0,0,0,"Alta concentración detectada",-1,""
1778504947239,ATTENTION,0.40317324,0.32910752,0.8116839,0.9138718,0.85996217,0.9847942,0.6667404,1.0,-3.0879211,-2.2355652,0.05279541,0.25024414,0.96954346,0,0,0,0,"Alta concentración detectada",-1,""
1778504947489,ATTENTION,0.40999222,0.3226269,0.73685175,0.89502746,0.77411634,0.9721001,0.65589917,1.0,-1.0243225,0.39627075,0.03881836,0.246521,0.9836426,0,0,0,0,"Alta concentración detectada",-1,""
1778504947739,ATTENTION,0.41884968,0.30824867,0.7197064,0.9001533,0.76317406,0.94007784,0.6373048,1.0,-2.4897766,-0.94207764,0.052856445,0.24121094,0.9779663,0,0,0,0,"Alta concentración detectada",-1,""
1778504947989,ATTENTION,0.41740465,0.3007358,0.6890492,0.9099591,0.77536327,0.9247675,0.61844015,1.0,-1.9589233,-0.0,0.049438477,0.24853516,0.9854126,0,0,0,0,"Alta concentración detectada",-1,""
1778504948239,ATTENTION,0.4178989,0.29136878,0.6719783,0.9025476,0.7679807,0.89727634,0.6241235,1.0,-2.123413,0.20935059,0.038330078,0.23968506,0.9819336,1,0,0,0,"Alta concentración detectada",-1,""
1778504948489,ATTENTION,0.42022192,0.2811163,0.6559442,0.9000154,0.75862914,0.8976773,0.60055315,1.0,-2.0411682,0.1121521,0.036499023,0.24304199,0.9762573,0,0,0,0,"Alta concentración detectada",-1,""
1778504948739,ATTENTION,0.42297554,0.27013046,0.6559442,0.9000154,0.75862914,0.8976773,0.60055315,1.0,-2.6168823,-1.5551758,0.050231934,0.24017334,0.9793701,0,0,0,0,"Alta concentración detectada",-1,""
1778504948990,ATTENTION,0.42282164,0.2669336,0.6559442,0.9000154,0.75862914,0.8976773,0.60055315,1.0,-1.3981628,-0.62805176,0.04095459,0.23669434,0.97540283,0,0,0,0,"Alta concentración detectada",-1,""
1778504949239,ATTENTION,0.42334813,0.26390556,0.6559442,0.9000154,0.75862914,0.8976773,0.60055315,1.5,-3.4169006,0.0074768066,0.028686523,0.2345581,0.98809814,0,0,0,0,"Alta concentración detectada",-1,""
1778504949489,ATTENTION,0.42033237,0.27103835,0.8106481,0.8679346,0.66785544,0.54902524,0.46442288,1.5,-2.0785522,3.708496,0.07122803,0.23510742,0.98168945,0,0,0,0,"Alta concentración detectada",-1,""
1778504949739,ATTENTION,0.4266922,0.27406254,0.6876715,0.815757,0.5485304,0.60049695,0.43080533,1.0,2.1009827,14.205933,0.041809082,0.20214844,0.9814453,0,0,0,0,"Alta concentración detectada",-1,""
1778504949989,ATTENTION,0.42886296,0.2791112,0.7167027,0.82619154,0.5670899,0.6902244,0.4529872,1.0,-3.6561584,-1.3607788,0.04498291,0.16516113,1.024292,0,0,0,0,"Alta concentración detectada",-1,""
1778504950239,ATTENTION,0.4293504,0.28534755,0.7271897,0.8242535,0.5742045,0.70701236,0.45440903,1.0,-6.923523,-2.9832458,0.030151367,0.19470215,0.9898071,0,0,0,0,"Alta concentración detectada",-1,""
1778504950489,ATTENTION,0.4288574,0.29345155,0.7271897,0.8242535,0.5742045,0.70701236,0.45440903,1.0,-5.9440613,-1.6748047,0.06451416,0.16186523,0.98339844,0,1,0,0,"Alta concentración detectada",-1,""
1778504950740,ATTENTION,0.4298929,0.3006144,0.68811864,0.82085365,0.5455119,0.7141268,0.45381868,1.0,-3.7832642,4.0000916,0.08453369,0.15991211,0.99328613,0,0,0,0,"Alta concentración detectada",-1,""
1778504950989,ATTENTION,0.43127194,0.30542934,0.67096,0.8516862,0.60170996,0.77806056,0.47326207,1.0,-4.441223,-1.5626526,0.06921387,0.19689941,0.9887085,0,0,0,0,"Alta concentración detectada",-1,""
1778504951240,ATTENTION,0.43295965,0.30958444,0.6632937,0.8567513,0.6097913,0.81250465,0.4895231,1.0,-1.9065857,-5.652466,0.043884277,0.20178223,0.9873657,0,0,0,0,"Alta concentración detectada",-1,""
1778504951489,ATTENTION,0.43464732,0.31373954,0.6632937,0.8567513,0.6097913,0.81250465,0.4895231,1.0,-1.1439514,0.4411316,0.09777832,0.18658447,0.9904785,1,0,0,0,"Alta concentración detectada",-1,""
1778504951739,ATTENTION,0.43633503,0.3178946,0.6632937,0.8567513,0.6097913,0.81250465,0.4895231,1.0,1.3308716,0.7626343,0.09454346,0.18395996,0.99194336,0,0,0,0,"Alta concentración detectada",-1,""
