timestamp,state,concentration,mellow,gamma_activity,alpha,beta,theta,delta,gamma,signal_quality,gyro_y,gyro_z,acc_x,acc_y,acc_z,blink,jaw_clench,nod,shake,robot_action,room_index,room_title,escape_room_name,module_type,temi_speaking
1779963989902,NEUTRAL,0.22713995,0.34501225,0.15573524,0.6804847,0.47422147,0.47531232,0.8700012,0.28881156,1.5,-3.6636353,-1.8692017,0.10632324,-0.005493164,0.9971924,1,1,1,1,"Neutral — sin seguimiento",1,"El Grimorio","El Castillo Encantado",MorseModule,0
1779963990152,NEUTRAL,0.22747026,0.34858748,0.15572216,0.6723224,0.45076162,0.54266226,0.8874575,0.2531457,1.5,7.312317,5.951538,0.1706543,-0.0018310547,1.0127563,0,0,0,0,"Neutral — sin seguimiento",1,"El Grimorio","El Castillo Encantado",MorseModule,0
1779963990402,NEUTRAL,0.22829595,0.35243922,0.15550916,0.66741276,0.45320937,0.5490352,0.88832396,0.2529361,1.5,19.118195,1.6822815,-0.038879395,0.12420654,1.034729,0,0,0,0,"Neutral — sin seguimiento",1,"El Grimorio","El Castillo Encantado",MorseModule,0
1779963990653,NEUTRAL,0.22960664,0.35407367,0.15495512,0.6718451,0.46807417,0.5691784,0.8962013,0.26114255,1.5,5.443115,2.9084778,-0.1418457,0.078186035,1.0439453,1,0,0,0,"Neutral — sin seguimiento",1,"El Grimorio","El Castillo Encantado",MorseModule,0
1779963990902,NEUTRAL,0.2308995,0.35480472,0.1545756,0.6849909,0.47596937,0.58781433,0.9135796,0.27147532,1.5,16.957397,-0.47851562,-0.293396,0.05053711,0.9446411,0,0,0,0,"Neutral — sin seguimiento",1,"El Grimorio","El Castillo Encantado",MorseModule,0
1779963991153,NEUTRAL,0.23172061,0.35503852,0.15389842,0.68336326,0.4710439,0.6111563,0.9435788,0.26645094,1.5,0.6878662,-4.515991,-0.3182373,0.091918945,1.0512695,0,0,0,0,"Neutral — sin seguimiento",1,"El Grimorio","El Castillo Encantado",MorseModule,1
1779963991403,NEUTRAL,0.22970228,0.35846904,0.15019377,0.67179143,0.46830708,0.5666272,0.9552658,0.2799268,1.5,-9.832001,0.927124,-0.14837646,0.009155273,0.942688,0,1,0,0,"Neutral — sin seguimiento",1,"El Grimorio","El Castillo Encantado",MorseModule,1
1779963991652,NEUTRAL,0.22839282,0.3599914,0.1475874,0.67179143,0.48498443,0.52407134,0.91729563,0.2993983,1.5,-13.069458,4.4711304,0.064208984,0.030334473,1.0062256,1,0,0,0,"Neutral — sin seguimiento",1,"El Grimorio","El Castillo Encantado",MorseModule,1
1779963991902,NEUTRAL,0.2272207,0.3609643,0.14562911,0.67179143,0.49869725,0.51851934,0.88416535,0.31365392,2.0,-20.546265,1.8692017,-0.061462402,0.24505615,1.010437,0,0,0,0,"Neutral — sin seguimiento",1,"El Grimorio","El Castillo Encantado",MorseModule,1
1779963992153,NEUTRAL,0.22688812,0.35973603,0.14515358,0.67179143,0.49869725,0.51851934,0.88416535,0.31365392,2.0,-15.275116,-10.385284,0.07385254,0.06652832,1.0396118,0,0,0,0,"Neutral — sin seguimiento",1,"El Grimorio","El Castillo Encantado",MorseModule,1
