timestamp,state,concentration,mellow,gamma_activity,alpha,beta,theta,delta,gamma,signal_quality,gyro_y,gyro_z,acc_x,acc_y,acc_z,blink,jaw_clench,nod,shake,robot_action,room_index,room_title,escape_room_name,module_type,temi_speaking
1779962238676,NEUTRAL,0.26044506,0.23506226,0.20822233,0.12309088,0.23100501,0.120707415,0.3184229,0.030366441,1.5,-1.77948,0.3215027,-0.033996582,0.045043945,1.0159912,1,1,1,1,"Modo calma activado",1,"El Grimorio","El Castillo Encantado",MorseModule,0
1779962238926,NEUTRAL,0.26702738,0.23466042,0.20707963,0.12407927,0.21951914,0.09643644,0.35459268,0.035688236,1.5,2.6019287,-9.039459,-0.101623535,-0.046569824,0.982605,0,0,0,0,"Modo calma activado",1,"El Grimorio","El Castillo Encantado",MorseModule,0
1779962239176,NEUTRAL,0.27347758,0.2353856,0.20615253,0.14632225,0.22090214,0.09374102,0.37562326,0.046038937,1.5,6.803894,9.772186,-0.14263916,0.032958984,1.0306396,0,0,0,0,"Neutral — sin seguimiento",1,"El Grimorio","El Castillo Encantado",MorseModule,0
1779962239427,NEUTRAL,0.27939194,0.23696096,0.20530902,0.15373094,0.2081847,0.08895587,0.3729319,0.03950827,1.5,1.6748047,9.95163,-0.12786865,0.040405273,0.99871826,0,0,0,0,"Neutral — sin seguimiento",1,"El Grimorio","El Castillo Encantado",MorseModule,0
1779962239676,NEUTRAL,0.28480306,0.24015895,0.20449448,0.1490429,0.20129475,0.06006268,0.367735,0.025546625,1.5,-5.2487183,-4.015045,-0.14910889,0.04638672,1.0020142,0,0,0,0,"Neutral — sin seguimiento",1,"El Grimorio","El Castillo Encantado",MorseModule,1
1779962239927,NEUTRAL,0.28816903,0.24833049,0.20270056,0.22492853,0.18670581,0.07416955,0.39102766,0.0159355,1.5,-4.1197205,-1.0018921,-0.11340332,0.040649414,1.0046997,0,0,0,0,"Neutral — sin seguimiento",1,"El Grimorio","El Castillo Encantado",MorseModule,1
1779962240176,NEUTRAL,0.29026502,0.25681224,0.20035717,0.22957115,0.1710833,0.12657796,0.5106239,0.005407264,1.5,-4.291687,-2.3776245,-0.113220215,0.042663574,0.9998779,1,0,0,0,"Neutral — sin seguimiento",1,"El Grimorio","El Castillo Encantado",MorseModule,1
1779962240426,NEUTRAL,0.2913015,0.26577872,0.19706146,0.25629607,0.1734888,0.17307001,0.5456481,0.0021252148,1.5,-4.321594,-2.9234314,-0.11621094,0.02911377,1.0012817,0,0,0,0,"Neutral — sin seguimiento",1,"El Grimorio","El Castillo Encantado",MorseModule,1
1779962240676,NEUTRAL,0.29606718,0.28144366,0.17640924,0.24684581,0.13821267,0.18262766,0.5413864,-0.041064,1.5,-3.8729858,-10.146027,-0.09442139,0.044006348,1.0133667,0,0,0,0,"Neutral — sin seguimiento",1,"El Grimorio","El Castillo Encantado",MorseModule,1
1779962240926,NEUTRAL,0.29275647,0.29893452,0.15622693,0.2796353,0.14005832,0.18973933,0.54131764,-0.037350584,1.5,-1.7121887,21.196747,0.0099487305,0.06695557,1.0507812,1,0,0,0,"Neutral — sin seguimiento",1,"El Grimorio","El Castillo Encantado",MorseModule,1
1779962241177,NEUTRAL,0.28938496,0.31527603,0.13645029,0.32176855,0.15828472,0.20438626,0.53462267,-0.0063826847,1.5,9.1441345,173.92548,-0.2640381,0.03894043,0.9727173,0,0,0,0,"Neutral — sin seguimiento",1,"El Grimorio","El Castillo Encantado",MorseModule,1
1779962241427,NEUTRAL,0.2818688,0.32348427,0.13328025,0.31069228,0.16287978,0.20335521,0.50974685,0.0256364,1.5,-10.714264,6.347809,-0.096191406,0.0435791,1.0219116,1,0,0,0,"Neutral — sin seguimiento",1,"El Grimorio","El Castillo Encantado",MorseModule,1
1779962241677,NEUTRAL,0.27552807,0.32937762,0.13096014,0.2784432,0.16339855,0.18622425,0.46118814,0.03690616,1.5,-3.252411,3.8954163,-0.07305908,0.038269043,1.0068359,0,0,0,0,"Neutral — sin seguimiento",1,"El Grimorio","El Castillo Encantado",MorseModule,1
1779962241926,NEUTRAL,0.27056527,0.33289197,0.12998745,0.23341696,0.15572278,0.15836096,0.42774493,0.044052355,1.5,-1.6897583,1.4654541,-0.08673096,0.016418457,1.0066528,1,0,0,0,"Neutral — sin seguimiento",1,"El Grimorio","El Castillo Encantado",MorseModule,1
