timestamp,state,concentration,mellow,alpha,beta,theta,delta,gamma,signal_quality,gyro_y,gyro_z,acc_x,acc_y,acc_z,blink,jaw_clench,nod,shake,robot_action,room_index,room_title
1778489154331,NEUTRAL,0.44324246,0.26683113,0.806412,1.0268168,0.8424632,0.827656,0.7600669,1.75,-3.6486816,-6.2879944,0.32928467,0.111572266,1.0336304,1,1,1,1,"Siguiendo al usuario",-1,""
1778489154581,NEUTRAL,0.44324246,0.26683113,0.806412,1.0268168,0.8424632,0.827656,0.7600669,1.75,18.243408,-7.4095154,0.28729248,0.12524414,1.092041,1,0,0,0,"Siguiendo al usuario",-1,""
1778489154831,ATTENTION,0.44324246,0.26683113,0.806412,1.0268168,0.8424632,0.827656,0.7600669,1.75,0.97946167,1.315918,0.123291016,0.017028809,1.0042114,0,0,0,0,"Siguiendo al usuario",-1,""
