# temi_eeg_session v2
# rows=1268
# app_version=0.1.0
# device=temi rk3399-Android11-temiV3 (Temi)
# level=El Escape Clásico
# connection=BLUETOOTH
# started_at=2026-09-07 13:44:58
# threshold_stress=0.22
# threshold_attention=0.24
# threshold_calm=0.28
# threshold_gamma=0.15
# blink_debounce_ms=500
# threshold_nod=48.0
# threshold_shake=109.0
timestamp,elapsed_ms,state,concentration,mellow,gamma_activity,alpha,beta,theta,delta,gamma,signal_quality,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,blink,jaw_clench,nod,shake,battery,noise,robot_action,room_index,room_title,escape_room_name,module_type,temi_speaking,event,event_detail
1788781502083,3702,CALM,0.21488531,0.2973502,0.11901217,0.63180935,0.46049002,0.7794938,1.010464,0.14031269,2.0,0.20187378,-2.6019287,-0.29907227,-0.076416016,-0.021972656,1.0018921,0,1,0,0,45,-1,"Estado relajado — listo para interactuar",1,"Ante la mazmorra","El Escape Clásico",RobotAnimModule,1,,""
1788781502334,3953,CALM,0.21208948,0.2965868,0.11509735,0.63180935,0.46049002,0.7794938,1.010464,0.14031269,2.0,0.41870117,-3.55896,-0.5757141,-0.072265625,-0.020446777,1.0066528,0,1,0,0,45,-1,"Estado relajado — listo para interactuar",1,"Ante la mazmorra","El Escape Clásico",RobotAnimModule,1,,""
1788781502584,4203,CALM,0.2091637,0.29608208,0.11105612,0.62400496,0.44602442,0.7678621,0.99964964,0.12287466,2.0,0.20187378,-5.0169373,-1.1888123,-0.06347656,-0.02368164,1.0081177,0,1,0,0,45,-1,"Estado relajado — listo para interactuar",1,"Ante la mazmorra","El Escape Clásico",RobotAnimModule,1,,""
1788781502833,4452,CALM,0.20688687,0.2940962,0.10716118,0.56925875,0.42761353,0.7425174,0.99137175,0.097117424,2.0,0.19439697,-5.15152,-1.0916138,-0.04876709,-0.018432617,1.0065918,0,1,0,0,45,-1,"Estado relajado — listo para interactuar",1,"Ante la mazmorra","El Escape Clásico",RobotAnimModule,1,,""
1788781503088,4707,CALM,0.20454419,0.29254285,0.103597105,0.5636792,0.4140095,0.72304755,0.96991676,0.09978987,2.0,0.28411865,-3.940277,-0.695343,-0.033691406,-0.020996094,1.0064697,0,1,0,0,45,-1,"Estado relajado — listo para interactuar",1,"Ante la mazmorra","El Escape Clásico",RobotAnimModule,1,,""
1788781503334,4953,CALM,0.20958178,0.2911603,0.10460536,0.45599335,0.4385918,0.4618243,0.73679745,0.15538177,2.0,0.08972168,-3.3047485,-0.7850647,-0.031921387,-0.016967773,1.0120239,0,1,0,0,45,-1,"Estado relajado — listo para interactuar",1,"Ante la mazmorra","El Escape Clásico",RobotAnimModule,1,,""
1788781503584,5203,CALM,0.21480244,0.29167968,0.10562008,0.48800573,0.4456772,0.43373016,0.7458247,0.15979561,2.0,0.029907227,-2.901001,-0.71777344,-0.022583008,-0.019042969,1.0061646,0,1,0,0,45,-1,"Estado relajado — listo para interactuar",1,"Ante la mazmorra","El Escape Clásico",RobotAnimModule,1,,""
1788781503833,5452,CALM,0.2216769,0.29619184,0.108654045,0.5627084,0.46787187,0.4789233,0.7497642,0.1586849,2.0,0.24673462,-2.086029,-0.3439331,-0.018737793,-0.021118164,1.0057983,0,1,0,0,45,-1,"Estado relajado — listo para interactuar",1,"Ante la mazmorra","El Escape Clásico",RobotAnimModule,1,,""
1788781504083,5702,CALM,0.2289929,0.30071637,0.11214319,0.56186736,0.47066435,0.45337945,0.75206083,0.15540858,2.0,1.4430237,2.0336914,3.7384033,-0.066223145,-0.01361084,1.0055542,0,1,0,0,45,-1,"Estado relajado — listo para interactuar",1,"Ante la mazmorra","El Escape Clásico",RobotAnimModule,1,,""
1788781504333,5952,CALM,0.23739718,0.30417836,0.11608238,0.54214644,0.4760267,0.43201572,0.7574424,0.15321311,2.0,-0.41870117,-2.7963257,-1.0766602,-0.05609131,-0.016418457,1.0027466,0,1,0,0,45,-1,"Estado relajado — listo para interactuar",1,"Ante la mazmorra","El Escape Clásico",RobotAnimModule,1,,""
