# temi_eeg_session v2
# rows=1098
# app_version=0.1.0
# device=temi rk3399-Android11-temiV3 (Temi)
# level=Aventura Espacial
# connection=BLUETOOTH
# started_at=2026-09-07 11:38:27
# threshold_stress=0.26
# threshold_attention=0.29
# threshold_calm=0.45
# threshold_gamma=0.18282014
# blink_debounce_ms=500
# threshold_nod=33.0
# threshold_shake=45.0
timestamp,elapsed_ms,state,concentration,mellow,gamma_activity,alpha,beta,theta,delta,gamma,signal_quality,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,blink,jaw_clench,nod,shake,battery,noise,robot_action,room_index,room_title,escape_room_name,module_type,temi_speaking,event,event_detail
1788773907912,0,NEUTRAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-1,-1,"",-1,"","",,0,GAME_START,"Aventura Espacial"
1788773908058,146,STRESS,0.39659408,0.20753264,0.37476817,0.23389986,0.27339998,0.1633318,0.32185906,0.26826188,1.5,0.7850647,-4.904785,-3.7458801,0.09887695,-0.061279297,1.0020752,1,1,1,1,55,-1,"Modo calma activado",-1,"","Aventura Espacial",,0,,""
1788773908308,396,STRESS,0.38630077,0.21219361,0.36030588,0.23389986,0.27849004,0.13497765,0.28549406,0.2585209,1.5,12.867584,-3.170166,-6.8637085,0.0847168,0.034423828,1.0129395,0,0,0,0,55,-1,"Modo calma activado",-1,"","Aventura Espacial",,0,,""
1788773908558,646,STRESS,0.3755148,0.21862385,0.3458314,0.23389986,0.26861572,0.09030133,0.26071373,0.23984581,1.5,-4.0374756,-0.50842285,-3.050537,0.06048584,0.06488037,1.0105591,0,0,0,0,55,-1,"Modo calma activado",-1,"","Aventura Espacial",,0,,""
1788773908808,896,STRESS,0.3639602,0.22621725,0.3312757,0.23389986,0.26790944,0.079882,0.25947186,0.23613212,2.0,-1.2710571,-2.781372,1.3981628,0.10443115,0.013671875,1.0072021,0,0,0,0,55,-1,"Modo calma activado",-1,"","Aventura Espacial",,0,,""
1788773909058,1146,STRESS,0.3510349,0.23397602,0.31845653,0.23485829,0.2655779,0.062937364,0.27935523,0.23312466,2.0,12.306824,-5.5477905,7.693634,0.07244873,0.05505371,1.0100098,0,0,0,0,55,-1,"Modo calma activado",-1,"","Aventura Espacial",,0,,""
1788773909308,1396,STRESS,0.33883327,0.23986205,0.30681837,0.19072318,0.27343285,0.04798671,0.28335938,0.22414306,2.0,-7.11792,-5.959015,-5.6599426,0.0435791,0.059936523,1.0040894,1,0,0,0,55,-1,"Modo calma activado",-1,"","Aventura Espacial",,0,,""
1788773909558,1646,STRESS,0.32665414,0.2457091,0.29450616,0.1926966,0.27640912,0.06703004,0.3035936,0.21578994,2.0,2.9234314,-8.852539,-4.5010376,0.090026855,0.040222168,0.9984131,0,0,0,0,55,-1,"Modo calma activado",-1,"","Aventura Espacial",,0,,""
1788773909808,1896,STRESS,0.31487703,0.2508902,0.2819127,0.17697786,0.2782083,0.075601906,0.33079284,0.2071679,1.5,-2.4075317,-5.330963,-3.9627075,0.12176514,-0.008178711,0.9972534,1,0,0,0,55,-1,"Modo calma activado",-1,"","Aventura Espacial",,0,,""
1788773910058,2146,STRESS,0.3036972,0.25114822,0.27254498,0.17664121,0.2916394,0.11342442,0.36723515,0.21538012,1.5,-0.10467529,-3.596344,-0.52337646,0.12664795,0.0064697266,1.0125122,0,0,0,0,55,-1,"Modo calma activado",-1,"","Aventura Espacial",,0,,""
1788773910308,2396,STRESS,0.2918257,0.25190076,0.26235127,0.23493685,0.30750638,0.1662555,0.3867762,0.22176689,1.5,1.6075134,-1.6075134,0.41122437,0.12121582,0.008850098,0.9911499,0,0,0,0,55,-1,"Modo calma activado",-1,"","Aventura Espacial",,0,,""
1788773910558,2646,STRESS,0.29407814,0.25201827,0.26023892,0.22791016,0.29992014,0.14995815,0.3406795,0.22466727,1.5,2.975769,-2.6542664,8.059998,0.1071167,0.03765869,1.0029907,0,0,0,0,55,-1,"Modo calma activado",-1,"","Aventura Espacial",,0,,""
1788773910808,2896,STRESS,0.29595903,0.2518432,0.25920743,0.21166436,0.28754872,0.10094149,0.29425153,0.22220257,1.5,-0.23925781,-2.7738953,-1.2860107,0.12030029,0.028625488,1.0004272,1,0,0,0,55,-1,"Modo calma activado",-1,"","Aventura Espacial",,0,,""
1788773911058,3146,STRESS,0.30613807,0.25592527,0.2637765,0.1666485,0.2715736,-0.0067717973,0.18130574,0.17864433,1.5,0.02243042,-0.96450806,1.6972351,0.111572266,0.04638672,1.0046387,0,0,0,0,55,-1,"Modo calma activado",-1,"","Aventura Espacial",,0,,""
1788773911308,3396,STRESS,0.31627738,0.25911483,0.2689645,0.17095089,0.28741172,-0.029817931,0.17006846,0.20120165,1.5,-3.1253052,2.4673462,9.368439,0.14331055,-0.0017089844,0.9987793,0,0,0,0,55,-1,"Modo calma activado",-1,"","Aventura Espacial",,0,,""
1788773911558,3646,ATTENTION,0.32544586,0.2622426,0.27465397,0.1812771,0.28439447,-0.02778618,0.17014001,0.21560755,1.5,2.512207,3.2673645,2.3327637,0.0647583,0.032104492,1.0083008,0,0,0,0,55,-1,"Alta concentración detectada",-1,"","Aventura Espacial",,0,,""
1788773911808,3896,ATTENTION,0.32531598,0.26336458,0.27471945,0.20353572,0.26526052,0.015322004,0.14116958,0.21889839,1.5,-7.0132446,-3.3496094,-10.370331,0.07287598,-0.032287598,0.9946289,0,0,0,0,55,-1,"Alta concentración detectada",-1,"","Aventura Espacial",,0,,""
1788773911911,3999,ATTENTION,0.32531598,0.26336458,0.27471945,0.20353572,0.26526052,0.015322004,0.14116958,0.21889839,1.5,-7.0132446,-3.3496094,-10.370331,0.07287598,-0.032287598,0.9946289,0,0,0,0,55,-1,"Alta concentración detectada",-1,"","Aventura Espacial",,0,ROOM_START,"1/8 Puente de mando"
1788773912058,4146,ATTENTION,0.32451662,0.26383245,0.275099,0.20399734,0.26797336,0.06912463,0.23878022,0.22523905,1.5,2.2579956,-6.22818,-6.4151,0.12878418,-0.04736328,1.0018921,0,0,0,0,55,-1,"Alta concentración detectada",1,"Puente de mando","Aventura Espacial",RobotAnimModule,0,,""
